seed_list,match_confidence,matched_row_id,property_id,property_name,city,state,zip_code,address,url,is_open,research_status,existing_unit_types,existing_site_names,match_type,match_reason,ood_deal_count,ood_locations,ood_deal_titles,audit_date
no,medium,10644,bb8cc55d-e650-46e9-8927-02f6c41ea09f,Moose Creek Ranch,Victor,ID,83455,2733 East 10800 South,https://www.moosecreekranch.com/,Yes,published,Airstream; Cabin; Safari Tent,Creekside Airstream; Rendezvous Cabins; Twin Cabins; Glamping Cabins,city_state_zip,City + state + zip,1,"3968 W 9000 S, Victor, ID 83455, USA","Miller Resor, Victor, ID, USA",2026-07-13
no,medium,9919,682b004f-def3-4316-9a5c-131ae1b66fa3,Buffalo Ridge Camp Resort,Custer,SD,57730,245 Centennial Drive,https://www.custerhospitality.com/,Yes,published,Tipi; Tiny Home; Safari Tent; Cabin,Luxury Teepee; Tree House; Canvas Tent; Log Cabin; Camping Cabins; Standard Teepee,city_state_zip,City + state + zip,1,"Custer, SD 57730, USA",Jonathan Green | United States | Sales,2026-07-13
no,low,9817,ad337aa3-0ad1-4f77-bcd1-ba6bde0f3f32,Camposanto ATX Glamping,Austin,TX,78734,1702 Center Point Ln,https://www.camposantoatx.com/,Yes,published,Yurt,The Macaw Yurt / The Peacock Yurt,city_state,City + state,1,"2900 French Pl, Austin, TX 78722, USA",Coleman - United States,2026-07-13
no,low,11315,0f7161bc-9477-41a4-9ab6-5084085a8554,The Lodge at Buckberry Creek,Gatlinburg,TN,37738,961 Campbell Lead Rd,https://www.buckberrylodge.com/,Yes,published,Cabin,,city_state,City + state,1,"Gatlinburg, TN, USA","Matt Waroway  - United States, gatlinburg, Tennessee",2026-07-13
no,low,10063,6b27b3a7-2b52-4d30-a91c-a6eba46eff00,Khushatta Hills Ranch,Coldspring,TX,77331,78 Donahoe Rd,https://khushattahillsranch.com/,Yes,published,Tiny Home; Safari Tent,Aunt B; A-Frame; Alzeda / Mom Mollie,city_state,City + state,2,"Cameron Ranch Glamping, England Lane, Coldspring, TX, USA | Cameron Ranch Glamping, England Lane, Coldspring, TX, USA","Garrett - United States, Coldspring, Texas | Garrett Brown - Cameron Ranch, TX, USA",2026-07-13
no,low,10247,037eda0d-4f3a-47ef-81ed-d336c944ff04,Star Gazer Glamping Village,Sevierville,TN,37862,3209 Line Springs Rd,https://stargazerstaysglamping.com/,Yes,published,Safari Tent,Tents,city_state,City + state,3,"Sevierville, TN, USA | Sevierville, TN, USA | Sevierville, TN, USA","Ivan Solovyev - United States, Sevierville , Tennessee | Meredith Garrett - United States, Sevierville , Tennessee | Christopher Kirkland - United States, Gatlinburg, Tennessee",2026-07-13
no,low,10483,aa8d3879-a7dd-45ee-83f4-9d4cd5d92ef9,Long Cove Resort,Charlotte,NC,28278,14629 Rainbarrel Rd,https://www.longcoveresort.com/home,Yes,published,Cabin,Tiny Cabins,city_state,City + state,1,"Charlotte, NC, USA","Princess Small - United States, Charlotte, North Carolina",2026-07-13
no,low,11584,e51a0a54-dd8e-4243-b629-dec31ecc95b1,Soulshine Glamping,Marion,NC,28752,653 Chisiam Trail,,Yes,rejected,Dome,,city_state,City + state,1,"690 Hidden Acres Dr, Marion, NC, USA","Andy Brokmeyer - NC, USA",2026-07-13
no,low,11585,044e051c-b566-414a-8dcf-ffff23a99e0c,Bee Our Guest,Mars Hill,NC,28754,,,Yes,rejected,Dome,,city_state,City + state,1,"Mars Hill, NC, USA","Chris Walker  - United States, Mars Hill, North Carolina",2026-07-13
no,low,9759,0f073e76-9139-45e4-bf0b-0713c0a89187,Nature Nook Retreats,Greenville,SC,29615,Urban Drive,https://www.wyldstaygreenvillesc.com/,Yes,published,A-Frame,A-Frame Cabin,city_state,City + state,1,"Greenville, SC, USA","Jordan Hawkins - United States, Greenville, South Carolina",2026-07-13
no,low,12652,e3b5cfd5-82be-46a1-acc9-1ef7fb42b2bc,Minneapolis Northwest KOA Journey,Maple Grove,MN,55311,"10410 Brockton Ln N, Maple Grove, MN 55311, United States",https://koa.com/campgrounds/minneapolis-northwest/,Yes,published,Mixed,Minneapolis Northwest KOA Journey,city_state,City + state,1,"Maple Grove, MN, USA","Ravi Shrestha - United States, MAPLE GROVE, Minnesota",2026-07-13
no,low,12976,ea97bd96-3ec4-4b53-862c-c57674e3a839,Clark Farm Silos,Kalispell,MT,,,,Yes,in_progress,Silo,,city_state,City + state,1,"877 Batavia Lane, Kalispell, MT, USA","Julia Rossi - United States, Aurora , Colorado",2026-07-13
no,low,9628,79707212-25c5-4dfe-8d31-56e72be7b0aa,Glamp Michigan,Benzonia,MI,49616,7537 Wallaker Rd,https://www.glampmichigan.co/,Yes,published,Dome,Geodesic Dome,city_state,City + state,1,"6546 6 Mile Road, Benzonia, MI, USA","Aaron Carriere - Glamp Michigan LLC - United States, Benzonia, Michigan",2026-07-13
no,low,12852,ac466005-2cee-4c01-be5c-66ef3f91ea6c,Trailborn Highlands,Highlands,NC,,"96 Log Cabin Ln, Highlands, NC 28741",https://www.trailborn.com/highlands/rooms/,Yes,published,Hotel Room,King Room with Fireplace; King Room; Queen Patio Room; King Garden Room; King Balcony Room; Queen Balcony Room; The Garden Suite; King Patio Room; Double Queen,city_state,City + state,1,"Highlands, NC, USA","Chris Hughes - United States, Highlands, North Carolina",2026-07-13
no,low,12998,8a1cf16f-341b-4963-89a2-4ed699abbcea,Under Canvas Teton Valley,Driggs,ID,,"Old Jackson Highway & Moose Creek Road (E 10800 S), Driggs, ID (92-acre Hare parcel; CUP withdrawn)",https://www.tetonvalleynews.net/news/local_government/p-z-rejects-under-canvas-sales-pitch/article_07db68e3-a3f9-5c13-8770-f6d2f8639bc6.html,Cancelled,in_progress,Safari Tent,,city_state,City + state,1,"Driggs, ID, USA","Brett Hiendlmayr - United States, Driggs, Idaho",2026-07-13
no,low,12347,53082848-fbd4-4bd2-890d-09b60c191903,Country Woods Inn,Glen Rose,TX,,,https://www.glamping.com/destination/north-america/texas/glen-rose/country-woods-inn/,Yes,published,Mixed,,city_state,City + state,1,"Glen Rose, TX, USA","Ezra Kuenzi - United States, Glen Rose, Texas",2026-07-13
no,low,12626,eb73cec3-0b4e-4a31-9734-04ab1ad65a19,Little Rock North / Jct. I-40 KOA Journey,North Little Rock,AR,72118,"7820 Kampground Way, North Little Rock, AR 72118, United States",https://koa.com/campgrounds/little-rock/,Yes,published,Mixed,Little Rock North / Jct. I-40 KOA Journey,city_state,City + state (fuzzy),1,"West Capitol Avenue, Little Rock, AR 72201, USA","David Bentley - United States, Little Rock, Arkansas",2026-07-13
no,low,9751,5109dc2f-7b6a-4186-aa3a-e8196e55b236,Under Canvas White Mountains,Dalton,NH,03598,700 Blakslee Rd,https://www.undercanvas.com/camps/white-mountains/,Yes,published,Safari Tent,Safari Tent,city_state,City + state,1,"Dalton, New Hampshire, USA","Mary Wellington - Whitefield, New Hampshire, US",2026-07-13
no,low,10123,32c30e2b-c9df-4239-8dcf-60497f0e5970,Timberline Glamping Co. Hillsborough River,Thonotosassa,FL,33592,15402 US-301,https://www.timberlineglamping.com/hillsborough-river,Yes,published,Safari Tent; Bell Tent,Standard Safari Tent; Bell Tent,city_state,City + state,1,"2382 N Kingsway Rd, Thonotosassa, FL 33584, USA",Kim Puelo,2026-07-13
no,low,12180,3d46b9f5-61ab-4ea3-9f17-f16425f71e74,Haven Yurts,Fredericksburg,TX,78624,11594 US-290,https://porchlighthospitality.guestybookings.com/en/properties/6488afb3a7d93d0036132af8,Yes,published,Yurt,Riesling; Malbec; Pinot Noir; Moscato,city_state,City + state,1,"916 Old San Antonio Rd, Fredericksburg, TX, USA","Luke Johnson - Fredericksburg, TX, USA",2026-07-13
no,low,11821,eac860cd-dea9-4394-95c3-423ac581f2bf,"Stanly Ranch, Auberge Resorts Collection",Napa,CA,94559,200 Stanly Crossroad,https://auberge.com/stanly-ranch/,Yes,rejected,Hotel Room,,city_state,City + state,1,"Napa, CA, USA","John Carey - United States, Napa, California",2026-07-13
no,low,11835,26a9b460-5601-4f53-a90f-897ac86a4c04,On The Lake RV & Cabin Resort,Onalaska,TX,77360,15152 US Highway 190 West,https://onthelakervresort.com/,Yes,published,RV Site,,city_state,City + state,1,"Onalaska, TX, USA","Adriana Uruena - United States, Onalaska, Texas",2026-07-13
no,low,11658,8717fb5c-f053-4c8d-af59-24e75d79f21b,Garden of the Gods RV Resort,Colorado Springs,CO,80904,3704 West Colorado Avenue,https://gardenofthegodscamping.com/,Yes,published,,Garden of the Gods RV Resort,city_state,City + state,1,"400 E Pikes Peak Ave apt 504, Colorado Springs, CO 80903, USA","Briana Russo - Colorado Springs, US",2026-07-13
no,low,12752,8438f272-f377-42b2-bfbe-14fa4bd37716,San Antonio / Alamo KOA Holiday,San Antonio,TX,78219,"602 Gembler Rd, San Antonio, TX 78219, United States",https://koa.com/campgrounds/san-antonio/,Yes,published,Mixed,San Antonio / Alamo KOA Holiday,city_state,City + state,1,"San Antonio, TX, USA",Jeff abbt | United States | Sales,2026-07-13
